s_id,loc_name,city,lon,lat,value
1001A,万寿西宫,北京,116.3621,39.8784,47.0
1002A,定陵(对照点),北京,116.2202,40.2915,12.0
1003A,东四,北京,116.4174,39.9289,65.0
1004A,天坛,北京,116.4072,39.8863,45.0
1005A,农展馆,北京,116.462,39.9365,44.0
1006A,官园,北京,116.3392,39.9295,48.0
1007A,海淀万柳,北京,116.2878,39.9611,39.0
1008A,顺义新城,北京,116.6636,40.135,40.0
1009A,怀柔镇,北京,116.6275,40.3275,38.0
1010A,昌平镇,北京,116.2296,40.217,14.0
1011A,奥体中心,北京,116.3966,39.9821,50.0
1012A,古城,北京,116.184,39.9136,36.0
1015A,勤俭道,天津,117.1444,39.1661,53.0
1017A,大直沽八号路,天津,117.237,39.1082,31.0
1018A,前进道,天津,117.202,39.0927,22.0
1019A,淮河道,天津,117.1837,39.2133,67.0
1021A,跃进路,天津,117.307,39.0877,27.0
1023A,第四大街,天津,117.707,39.0343,21.0
1024A,永明路,天津,117.457,38.8394,19.0
1026A,汉北路,天津,117.764,39.1587,50.0
1027A,团泊洼(对照点),天津,117.157,38.9194,20.0
1029A,职工医院,石家庄,114.4422,38.0444,28.0
1030A,高新区,石家庄,114.6063,38.0266,19.0
1031A,西北水源,石家庄,114.4898,38.1328,24.0
1032A,西南高教,石家庄,114.4586,38.0058,36.0
1033A,世纪公园,石家庄,114.5331,38.0178,26.0
1034A,人民会堂,石家庄,114.509,38.0457,27.0
1035A,封龙山(对照点),石家庄,114.3524,37.8911,32.0
1037A,雷达站,唐山,118.131,39.6363,110.0
1038A,物资局,唐山,118.1725,39.6334,91.0
1040A,十二中,唐山,118.1705,39.6506,99.0
1041A,小山,唐山,118.1869,39.622,92.0
1042A,北戴河环保局,秦皇岛,119.5134,39.8207,57.0
1043A,第一关,秦皇岛,119.7493,40.0116,48.0
1044A,监测站,秦皇岛,119.5897,39.9499,44.0
1046A,建设大厦,秦皇岛,119.5251,39.9041,26.0
1048A,东污水处理厂,邯郸,114.5302,36.6116,24.0
1049A,矿院,邯郸,114.4918,36.5713,22.0
1050A,丛台公园,邯郸,114.484,36.6133,22.0
1051A,游泳馆,保定,115.493,38.8632,25.0
1053A,接待中心,保定,115.4713,38.9108,28.0
1054A,地表水厂,保定,115.4612,38.8416,23.0
1055A,胶片厂,保定,115.4323,38.8697,35.0
1056A,监测站,保定,115.5086,38.8639,29.0
1057A,人民公园,张家口,114.8883,40.8336,2.0
1059A,五金库,张家口,114.8687,40.8042,24.0
1060A,世纪豪园,张家口,114.8902,40.762,22.0
1061A,北泵房(对照点),张家口,114.8916,40.8661,23.0
1062A,铁路,承德,117.9531,40.9081,25.0
1063A,中国银行,承德,117.9392,40.9763,21.0
1064A,开发区,承德,117.9503,40.928,23.0
1065A,文化中心,承德,117.8051,40.9655,32.0
1066A,离宫(对照点),承德,117.9268,41.0026,24.0
1067A,药材公司,廊坊,116.6708,39.5111,63.0
1068A,开发区,廊坊,116.7214,39.5589,54.0
1070A,北华航天学院,廊坊,116.7244,39.5269,62.0
1071A,沧县城建局,沧州,116.8842,38.2991,15.0
1072A,电视转播站,沧州,116.8584,38.3254,14.0
1073A,市环保局,沧州,116.8709,38.3228,14.0
1074A,电机北厂,衡水,115.6838,37.7541,13.0
1075A,市监测站,衡水,115.6303,37.7316,14.0
1077A,达活泉,邢台,114.4704,37.0886,20.0
1078A,邢师高专,邢台,114.5062,37.0349,29.0
1079A,路桥公司,邢台,114.5237,37.0851,22.0
1081A,尖草坪,太原,112.5139,37.8873,35.0
1083A,上兰(对照点),太原,112.434,38.0108,28.0
1084A,晋源,太原,112.469,37.7124,24.0
1085A,小店,太原,112.5583,37.7394,28.0
1086A,桃园,太原,112.5369,37.8692,26.0
1087A,坞城,太原,112.57,37.8195,19.0
1088A,南寨,太原,112.549,37.9854,31.0
1090A,呼市一监,呼和浩特,111.6507,40.7517,31.0
1091A,小召,呼和浩特,111.6572,40.8033,22.0
1094A,如意水处理厂,呼和浩特,111.7516,40.8369,17.0
1095A,二十九中,呼和浩特,111.7276,40.8062,22.0
1096A,工大金川校区,呼和浩特,111.5512,40.7866,14.0
1097A,化肥厂生活区,呼和浩特,111.717,40.7612,14.0
1098A,森林路(对照点),沈阳,123.6836,41.9339,24.0
1099A,浑南东路,沈阳,123.505,41.7406,21.0
1100A,新秀街,沈阳,123.4231,41.6989,24.0
1102A,东陵路,沈阳,123.5903,41.8411,23.0
1103A,陵东街,沈阳,123.4264,41.8467,22.0
1104A,文化路,沈阳,123.4114,41.7653,20.0
1105A,小河沿,沈阳,123.4678,41.7867,22.0
1106A,太原街,沈阳,123.4017,41.7972,27.0
1108A,京沈街,沈阳,123.3783,41.9228,21.0
1109A,甘井子,大连,121.612,38.9741,72.0
1110A,周水子,大连,121.565,38.9511,76.0
1111A,星海三站,大连,121.5637,38.8845,49.0
1112A,青泥洼桥,大连,121.6302,38.9117,57.0
1113A,傅家庄,大连,121.6251,38.8638,44.0
1115A,旅顺,大连,121.2529,38.8061,34.0
